,Player,Player City,Country,State,Team City,PER,Player US Full City
162,Pat Connaughton,Arlington,US,MA,Milwaukee,13.4,"Arlington, MA"
163,Sandro Mamukelashvili,New York,US,NY,Milwaukee,14.7,"New York, NY"
164,Rayjon Tucker,Charlotte,US,NC,Milwaukee,17.7,"Charlotte, NC"
165,D'Angelo Russell,Louisville,US,KY,Minnesota,16.3,"Louisville, KY"
166,Anthony Edwards,Atlanta,US,GA,Minnesota,16.5,"Atlanta, GA"
167,Jaden McDaniels,Federal Way,US,WA,Minnesota,10.3,"Federal Way, WA"
168,Jaylen Nowell,Seattle,US,WA,Minnesota,16.8,"Seattle, WA"
169,Malik Beasley,Atlanta,US,GA,Minnesota,11.9,"Atlanta, GA"
170,Jordan McLaughlin,Etiwanda,US,CA,Minnesota,13.4,"Etiwanda, CA"
171,Jarred Vanderbilt,Houston,US,TX,Minnesota,15.3,"Houston, TX"
172,Jake Layman,Norwood,US,MA,Minnesota,9.0,"Norwood, MA"
173,Naz Reid,Asbury Park,US,NJ,Minnesota,17.2,"Asbury Park, NJ"
174,Taurean Prince,San Marcos,US,TX,Minnesota,12.4,"San Marcos, TX"
175,Nathan Knight,Syracuse,US,NY,Minnesota,18.7,"Syracuse, NY"
176,Greg Monroe,New Orleans,US,LA,Minnesota,19.5,"New Orleans, LA"
177,Patrick Beverley,Chicago,US,IL,Minnesota,14.8,"Chicago, IL"
178,McKinley Wright IV,North Robbinsdale,US,MN,Minnesota,9.5,"North Robbinsdale, MN"
179,Karl-Anthony Towns,Edison,US,NJ,Minnesota,24.1,"Edison, NJ"
180,Andre Drummond,Mount Vernon,US,NY,Brooklyn,21.0,"Mount Vernon, NY"
181,Bruce Brown,Boston,US,MA,Brooklyn,15.0,"Boston, MA"
182,Blake Griffin,Oklahoma City,US,OK,Brooklyn,13.7,"Oklahoma City, OK"
183,David Duke Jr.,Providence,US,RI,Brooklyn,10.0,"Providence, RI"
184,Kevin Durant,Washington,US,DC,Brooklyn,25.6,"Washington, DC"
185,Joe Harris,Chelan,US,WA,Brooklyn,9.6,"Chelan, WA"
186,Kessler Edwards,Glendale,US,CA,Brooklyn,8.3,"Glendale, CA"
187,Day'Ron Sharpe,Greenville,US,NC,Brooklyn,20.7,"Greenville, NC"
188,LaMarcus Aldridge,Dallas,US,TX,Brooklyn,19.6,"Dallas, TX"
189,Seth Curry,Charlotte,US,NC,Brooklyn,13.7,"Charlotte, NC"
190,Nic Claxton,Greenville,US,SC,Brooklyn,18.6,"Greenville, SC"
191,Obi Toppin,Brooklyn,US,NY,New York,18.3,"Brooklyn, NY"
192,Miles McBride,Cincinnati,US,OH,New York,6.1,"Cincinnati, OH"
193,Nerlens Noel,Malden,US,MA,New York,11.8,"Malden, MA"
194,Derrick Rose,Chicago,US,IL,New York,16.9,"Chicago, IL"
195,Immanuel Quickley,Havre de Grace,US,MD,New York,14.6,"Havre de Grace, MD"
196,Quentin Grimes,Houston,US,TX,New York,10.7,"Houston, TX"
197,Kemba Walker,The Bronx,US,NY,New York,13.9,"The Bronx, NY"
198,Alec Burks,Grandview,US,MO,New York,13.7,"Grandview, MO"
199,Cam Reddish,Norristown,US,PA,New York,12.8,"Norristown, PA"
200,Mitchell Robinson,Pensacola,US,FL,New York,20.7,"Pensacola, FL"
201,Julius Randle,Dallas,US,TX,New York,15.7,"Dallas, TX"
202,Jericho Sims,Minneapolis,US,MN,New York,11.6,"Minneapolis, MN"
203,Ryan Arcidiacono,Philadelphia,US,PA,New York,6.1,"Philadelphia, PA"
