,Player,Country,PER
198,Jordan Nwora,US,9.9
199,Jrue Holiday,US,19.8
200,Khris Middleton,US,18.1
201,Wesley Matthews,US,6.9
202,Pat Connaughton,US,13.4
203,Lindell Wigginton,CA,10.2
204,Giannis Antetokounmpo,GR,32.1
205,Thanasis Antetokounmpo,GR,12.5
206,Sandro Mamukelashvili,US,14.7
207,Rayjon Tucker,US,17.7
208,Rayjon Tucker,US,17.7
209,D'Angelo Russell,US,16.3
210,Anthony Edwards,US,16.5
211,Jaden McDaniels,US,10.3
212,Jaylen Nowell,US,16.8
213,Malik Beasley,US,11.9
214,Jordan McLaughlin,US,13.4
215,Jarred Vanderbilt,US,15.3
216,Leandro Bolmaro,AR,5.4
217,Jake Layman,US,9.0
218,Naz Reid,US,17.2
219,Taurean Prince,US,12.4
220,Nathan Knight,US,18.7
221,Greg Monroe,US,19.5
222,Josh Okogie,NG,9.0
223,Patrick Beverley,US,14.8
224,McKinley Wright IV,US,9.5
225,Karl-Anthony Towns,US,24.1
226,Andre Drummond,US,21.0
227,Bruce Brown,US,15.0
228,Blake Griffin,US,13.7
229,David Duke Jr.,US,10.0
230,Kevin Durant,US,25.6
231,Patty Mills,AU,10.4
232,Kyrie Irving,AU,21.4
233,Joe Harris,US,9.6
234,Kessler Edwards,US,8.3
235,Day'Ron Sharpe,US,20.7
236,LaMarcus Aldridge,US,19.6
237,Cam Thomas,JP,11.7
238,Seth Curry,US,13.7
239,Seth Curry,US,13.7
240,Nic Claxton,US,18.6
241,Obi Toppin,US,18.3
242,Miles McBride,US,6.1
243,Nerlens Noel,US,11.8
244,Derrick Rose,US,16.9
245,Immanuel Quickley,US,14.6
246,Quentin Grimes,US,10.7
247,Quentin Grimes,US,10.7
248,Kemba Walker,US,13.9
249,RJ Barrett,CA,13.7
250,Evan Fournier,FR,12.3
