,Player,From,To,Colleges,HTML Reference,Date,City,Country,State
183,Jalen Lecque,2020.0,2021.0,,/players/l/lecquja01.html,"Jun 13, 2000",New York,US,NY
184,Ricky Ledo,2014.0,2015.0,,/players/l/ledori01.html,"Sep 10, 1992",Providence,US,RI
185,Rashard Lewis,1999.0,2014.0,,/players/l/lewisra02.html,"Aug 8, 1979",Pineville,US,LA
186,Goose Ligon,1968.0,1974.0,,/players/l/ligongo01.html,"Feb 22, 1944",Kokomo,US,IN
187,Shaun Livingston,2005.0,2019.0,,/players/l/livinsh01.html,"Sep 11, 1985",Peoria,US,IL
188,Raul Lopez,2004.0,2005.0,,/players/l/lopezra01.html,"Apr 15, 1980",Vic,ES,
189,Didi Louzada,2021.0,2022.0,,/players/l/louzama01.html,"Feb 7, 1999",Cachoeiro de Itapemirim,BR,
190,Gabriel Lundberg,2022.0,2022.0,,/players/l/lundbga01.html,"Dec 4, 1994",Copenhagen,DK,
191,Timothe Luwawu-Cabarrot,2017.0,2022.0,,/players/l/luwawti01.html,"May 9, 1995",Cannes,FR,
192,Arvydas Macijauskas,2006.0,2006.0,,/players/m/macijar01.html,"Jan 19, 1980",Klaipeda,LT,
193,Ian Mahinmi,2008.0,2020.0,,/players/m/mahinia01.html,"Nov 5, 1986",Rouen,FR,
194,Thon Maker,2017.0,2021.0,,/players/m/makerth01.html,"Feb 25, 1997",Wau,SS,
195,Theo Maledon,2021.0,2023.0,,/players/m/maledth01.html,"Jun 12, 2001",Rouen,FR,
196,Moses Malone,1975.0,1995.0,,/players/m/malonmo01.html,"Mar 23, 1955",Petersburg,US,VA
197,Sarunas Marciulionis,1990.0,1997.0,,/players/m/marcisa01.html,"Jun 13, 1964",Kaunas,LT,
198,Boban Marjanovic,2016.0,2023.0,,/players/m/marjabo01.html,"Aug 15, 1988",Zajecar,RS,
199,Damir Markota,2007.0,2007.0,,/players/m/markoda01.html,"Dec 26, 1985",Sarajevo,BA,
200,Fernando Martin,1987.0,1987.0,,/players/m/martife01.html,"Mar 25, 1962",Madrid,ES,
201,Kenyon Martin Jr.,2021.0,2023.0,,/players/m/martike04.html,"Jan 6, 2001",Gardena,US,CA
202,Bucky McConnell,1953.0,1953.0,,/players/m/mcconbu01.html,"Jul 1, 1928",,US,NJ
203,Tracy McGrady,1998.0,2012.0,,/players/m/mcgratr01.html,"May 24, 1979",Bartow,US,FL
204,Stanislav Medvedenko,2001.0,2007.0,,/players/m/medvest01.html,"Apr 4, 1979",Karapyshi,UA,
205,Salah Mejri,2016.0,2019.0,,/players/m/mejrisa01.html,"Jun 15, 1986",Jendouba,TN,
206,Nicolo Melli,2020.0,2021.0,,/players/m/mellini01.html,"Jan 26, 1991",Reggio Emilia,IT,
207,Stan Miasek,1947.0,1953.0,,/players/m/miasest01.html,"Sep 19, 1923",New York,US,NY
208,Red Mihalik,1947.0,1947.0,,/players/m/mihalre01.html,"Sep 22, 1916",Ford City,US,PA
209,C.J. Miles,2006.0,2022.0,,/players/m/milescj01.html,"Mar 18, 1987",Dallas,US,TX
210,Darius Miles,2001.0,2009.0,,/players/m/milesda01.html,"Oct 9, 1981",Belleville,US,IL
211,Marko Milic,1998.0,1999.0,,/players/m/milicma01.html,"May 7, 1977",Kranj,SI,
212,Darko Milicic,2004.0,2013.0,,/players/m/milicda01.html,"Jun 20, 1985",Novi Sad,RS,
213,Yao Ming,2003.0,2011.0,,/players/m/mingya01.html,"Sep 12, 1980",Shanghai,CN,
214,Nikola Mirotic,2015.0,2019.0,,/players/m/mirotni01.html,"Feb 11, 1991",Podgorica,ME,
215,Adam Mokoka,2020.0,2021.0,,/players/m/mokokad01.html,"Jul 18, 1998",Paris,FR,
216,Sergei Monia,2006.0,2006.0,,/players/m/moniase01.html,"Apr 15, 1983",Saratov,RU,
217,Donatas Motiejunas,2013.0,2019.0,,/players/m/motiedo01.html,"Sep 20, 1990",Kaunas,LT,
218,Timofey Mozgov,2011.0,2018.0,,/players/m/mozgoti01.html,"Jul 16, 1986",St. Petersburg,RU,
219,Emmanuel Mudiay,2016.0,2022.0,,/players/m/mudiaem01.html,"Mar 5, 1996",Kinshasa,CD,
220,Gheorghe Muresan,1994.0,2000.0,,/players/m/muresgh01.html,"Feb 14, 1971",Triteni,RO,
221,John Murphy,1947.0,1947.0,,/players/m/murphjo01.html,"Sep 13, 1924",Philadelphia,US,PA
