,Player,Colleges,PER
192,Omer Yurtseven,Georgetown,17.4
193,George Hill,IUPUI,10.2
194,Jevon Carter,WestVirginia,9.6
195,Grayson Allen,Duke,12.7
196,Bobby Portis,Arkansas,17.7
197,Brook Lopez,Stanford,16.0
198,Jordan Nwora,Louisville,9.9
199,Jrue Holiday,UCLA,19.8
200,Khris Middleton,TexasA&M,18.1
201,Wesley Matthews,Marquette,6.9
202,Pat Connaughton,NotreDame,13.4
203,Lindell Wigginton,IowaState,10.2
204,Giannis Antetokounmpo,Filathlitikos,32.1
205,Thanasis Antetokounmpo,Panathinaikos,12.5
206,Sandro Mamukelashvili,SetonHall,14.7
207,Rayjon Tucker,FloridaGulfCoast,17.7
208,Rayjon Tucker,LittleRock,17.7
209,D'Angelo Russell,OhioState,16.3
210,Anthony Edwards,Georgia,16.5
211,Jaden McDaniels,Washington,10.3
212,Jaylen Nowell,Washington,16.8
213,Malik Beasley,FloridaState,11.9
214,Jordan McLaughlin,USC,13.4
215,Jarred Vanderbilt,Kentucky,15.3
216,Leandro Bolmaro,FCBarcelona,5.4
217,Jake Layman,Maryland,9.0
218,Naz Reid,LSU,17.2
219,Taurean Prince,Baylor,12.4
220,Nathan Knight,William&Mary,18.7
221,Greg Monroe,Georgetown,19.5
222,Josh Okogie,GeorgiaTech,9.0
223,Patrick Beverley,Arkansas,14.8
224,McKinley Wright IV,Colorado,9.5
225,Karl-Anthony Towns,Kentucky,24.1
226,Andre Drummond,UConn,21.0
227,Bruce Brown,Miami(FL),15.0
228,Blake Griffin,Oklahoma,13.7
229,David Duke Jr.,Providence,10.0
230,Kevin Durant,Texas,25.6
231,Patty Mills,SaintMary's,10.4
232,Kyrie Irving,Duke,21.4
233,Joe Harris,Virginia,9.6
234,Kessler Edwards,Pepperdine,8.3
235,Day'Ron Sharpe,UNC,20.7
236,LaMarcus Aldridge,Texas,19.6
237,Cam Thomas,LSU,11.7
238,Seth Curry,Liberty,13.7
239,Seth Curry,Duke,13.7
240,Nic Claxton,Georgia,18.6
241,Obi Toppin,Dayton,18.3
242,Miles McBride,WestVirginia,6.1
243,Nerlens Noel,Kentucky,11.8
244,Derrick Rose,Memphis,16.9
245,Immanuel Quickley,Kentucky,14.6
246,Quentin Grimes,Kansas,10.7
247,Quentin Grimes,Houston,10.7
248,Kemba Walker,UConn,13.9
249,RJ Barrett,Duke,13.7
250,Evan Fournier,PoitiersBasket86,12.3
251,Alec Burks,Colorado,13.7
252,Cam Reddish,Duke,12.8
253,Mitchell Robinson,WesternKentucky,20.7
254,Julius Randle,Kentucky,15.7
255,Jericho Sims,Texas,11.6
256,Ryan Arcidiacono,Villanova,6.1
257,Taj Gibson,USC,12.0
258,Chuma Okeke,Auburn,12.0
259,Jalen Suggs,Gonzaga,8.6
260,Mo Bamba,Texas,16.5
261,Bol Bol,Oregon,13.5
262,R.J. Hampton,NewZealandBreakers,8.5
263,Gary Harris,MichiganState,10.9
264,Ignas Brazdeikis,Michigan,10.2
265,Markelle Fultz,Washington,17.7
266,Moritz Wagner,Michigan,18.1
267,Franz Wagner,Michigan,14.7
268,Admiral Schofield,Tennessee,7.5
269,Devin Cannady,Princeton,8.6
270,Terrence Ross,Washington,10.0
