Player,PER,Player Name,Height,Weight,Age,School,Team Name,City,Birth Month
Tyler Herro,16.2,Tyler Herro,77.0,195.0,22.0,Kentucky,Miami Heat,Miami,JAN
Buddy Hield,12.9,Buddy Hield,76.0,220.0,29.0,Oklahoma,Indiana Pacers,Indiana,DEC
Haywood Highsmith,7.0,Haywood Highsmith,76.0,220.0,25.0,Wheeling Jesuit,Miami Heat,Miami,DEC
George Hill,10.2,George Hill,76.0,188.0,36.0,Indiana-Purdue Indianapolis,Milwaukee Bucks,Milwaukee,MAY
Malcolm Hill,12.7,Malcolm Hill,78.0,220.0,26.0,Illinois,Chicago Bulls,Chicago,OCT
Nate Hinton,-45.2,Nate Hinton,77.0,210.0,23.0,Houston,Indiana Pacers,Indiana,JUN
Aaron Holiday,12.6,Aaron Holiday,72.0,185.0,25.0,UCLA,Phoenix Suns,Phoenix,SEP
Jrue Holiday,19.8,Jrue Holiday,75.0,205.0,32.0,UCLA,Milwaukee Bucks,Milwaukee,JUN
Justin Holiday,9.5,Justin Holiday,78.0,180.0,33.0,Washington,Sacramento Kings,Sacramento,APR
Richaun Holmes,17.8,Richaun Holmes,82.0,235.0,28.0,Bowling Green,Sacramento Kings,Sacramento,OCT
Rodney Hood,7.2,Rodney Hood,80.0,208.0,29.0,Duke,Los Angeles Clippers,Los Angeles,OCT
Al Horford,16.7,Al Horford,81.0,240.0,36.0,Florida,Boston Celtics,Boston,JUN
Talen Horton-Tucker,11.0,Talen Horton-Tucker,76.0,234.0,21.0,Iowa State,Los Angeles Lakers,Los Angeles,NOV
Danuel House Jr.,10.6,Danuel House Jr.,78.0,220.0,29.0,Texas A&M,Utah Jazz,Utah,JUN
Dwight Howard,18.2,Dwight Howard,82.0,265.0,36.0,SW Atlanta Christian Academy (GA),Los Angeles Lakers,Los Angeles,DEC
Markus Howard,16.1,Markus Howard,70.0,175.0,23.0,Marquette,Denver Nuggets,Denver,MAR
Kevin Huerter,11.9,Kevin Huerter,79.0,198.0,23.0,Maryland,Atlanta Hawks,Atlanta,AUG
Elijah Hughes,5.4,Elijah Hughes,77.0,215.0,24.0,Syracuse,Portland Trail Blazers,Portland,MAR
Feron Hunt,-3.0,Feron Hunt,80.0,195.0,22.0,Southern Methodist,New York Knicks,New York,JUL
De'Andre Hunter,10.6,De'Andre Hunter,80.0,221.0,24.0,Virginia,Atlanta Hawks,Atlanta,DEC
Bones Hyland,14.4,Bones Hyland,74.0,169.0,21.0,Virginia Commonwealth,Denver Nuggets,Denver,SEP
Serge Ibaka,14.4,Serge Ibaka,82.0,235.0,32.0,Ricoh Manresa,Milwaukee Bucks,Milwaukee,SEP
Andre Iguodala,12.3,Andre Iguodala,78.0,215.0,38.0,Arizona,Golden State Warriors,Golden State,JAN
Joe Ingles,10.0,Joe Ingles,80.0,220.0,34.0,Maccabi Tel Aviv,Portland Trail Blazers,Portland,OCT
Brandon Ingram,18.7,Brandon Ingram,80.0,190.0,24.0,Duke,New Orleans Pelicans,New Orleans,SEP
Kyrie Irving,21.4,Kyrie Irving,74.0,195.0,30.0,Duke,Brooklyn Nets,Brooklyn,MAR
Frank Jackson,10.6,Frank Jackson,75.0,205.0,24.0,Duke,Detroit Pistons,Detroit,MAY
Isaiah Jackson,20.5,Isaiah Jackson,82.0,205.0,20.0,Kentucky,Indiana Pacers,Indiana,JAN
Jaren Jackson Jr.,17.0,Jaren Jackson Jr.,83.0,242.0,22.0,Michigan State,Memphis Grizzlies,Memphis,SEP
Josh Jackson,9.5,Josh Jackson,80.0,207.0,25.0,Kansas,Sacramento Kings,Sacramento,FEB
Reggie Jackson,12.1,Reggie Jackson,74.0,208.0,32.0,Boston College,Los Angeles Clippers,Los Angeles,APR
LeBron James,26.2,LeBron James,81.0,250.0,37.0,St. Vincent-St. Mary HS (OH),Los Angeles Lakers,Los Angeles,DEC
Ty Jerome,11.3,Ty Jerome,77.0,195.0,24.0,Virginia,Oklahoma City Thunder,Oklahoma City,JUL
Isaiah Joe,7.7,Isaiah Joe,76.0,165.0,22.0,Arkansas,Philadelphia 76ers,Philadelphia,JUL
Cameron Johnson,15.2,Cameron Johnson,80.0,210.0,26.0,North Carolina,Phoenix Suns,Phoenix,MAR
David Johnson,-20.0,David Johnson,76.0,203.0,21.0,Louisville,Toronto Raptors,Toronto,FEB
Jalen Johnson,11.3,Jalen Johnson,80.0,219.0,20.0,Duke,Atlanta Hawks,Atlanta,DEC
Keldon Johnson,15.2,Keldon Johnson,78.0,220.0,22.0,Kentucky,San Antonio Spurs,San Antonio,OCT
Keon Johnson,8.7,Keon Johnson,76.0,185.0,20.0,Tennessee,Portland Trail Blazers,Portland,MAR
Stanley Johnson,10.5,Stanley Johnson,78.0,242.0,26.0,Arizona,Los Angeles Lakers,Los Angeles,MAY
Damian Jones,18.3,Damian Jones,83.0,245.0,27.0,Vanderbilt,Sacramento Kings,Sacramento,JUN
Derrick Jones Jr.,13.0,Derrick Jones Jr.,78.0,210.0,25.0,UNLV,Chicago Bulls,Chicago,FEB
Herbert Jones,12.3,Herbert Jones,79.0,206.0,23.0,Alabama,New Orleans Pelicans,New Orleans,OCT
Kai Jones,9.2,Kai Jones,82.0,221.0,21.0,Texas,Charlotte Hornets,Charlotte,JAN
Mason Jones,17.8,Mason Jones,76.0,200.0,23.0,Arkansas,Los Angeles Lakers,Los Angeles,JUL
Tre Jones,15.0,Tre Jones,73.0,185.0,22.0,Duke,San Antonio Spurs,San Antonio,JAN
Tyus Jones,16.5,Tyus Jones,72.0,196.0,26.0,Duke,Memphis Grizzlies,Memphis,MAY
DeAndre Jordan,17.2,DeAndre Jordan,83.0,265.0,33.0,Texas A&M,Philadelphia 76ers,Philadelphia,JUL
Cory Joseph,11.4,Cory Joseph,75.0,200.0,30.0,Texas,Detroit Pistons,Detroit,AUG
Luke Kennard,13.3,Luke Kennard,77.0,206.0,26.0,Duke,Los Angeles Clippers,Los Angeles,JUN
Braxton Key,13.7,Braxton Key,80.0,225.0,25.0,Virginia,Detroit Pistons,Detroit,FEB
Corey Kispert,10.9,Corey Kispert,78.0,224.0,23.0,Gonzaga,Washington Wizards,Washington,MAR
